REPOSITORY                         TAG           IMAGE ID        CREATED               PLATFORM       SIZE          BLOB SIZE
192.168.0.5:5000/gcc               estargz       aa681906d806    7 minutes ago         linux/amd64    1.2 GiB       439.3 MiB
192.168.0.5:5000/gcc               latest        f7ea55625e09    24 minutes ago        linux/amd64    1.2 GiB       428.5 MiB
192.168.0.5:5000/gcc               latest_obd    173dbd0e3a04    7 minutes ago         linux/amd64    706.8 MiB     706.7 MiB
192.168.0.5:5000/gcc               nydusv6       38ffb800f0ef    7 minutes ago         linux/amd64    0.0 B         416.2 MiB
192.168.0.5:5000/glassfish         estargz       6d52a0679032    4 minutes ago         linux/amd64    799.6 MiB     346.1 MiB
192.168.0.5:5000/glassfish         latest        607a21c95462    21 minutes ago        linux/amd64    792.3 MiB     338.1 MiB
192.168.0.5:5000/glassfish         latest_obd    4e1e0f51f035    4 minutes ago         linux/amd64    507.1 MiB     507.0 MiB
192.168.0.5:5000/glassfish         nydusv6       a965db16539b    4 minutes ago         linux/amd64    0.0 B         330.0 MiB
192.168.0.5:5000/golang            estargz       24bc97c1c6f8    9 minutes ago         linux/amd64    982.8 MiB     340.6 MiB
192.168.0.5:5000/golang            latest        90fb73aa50a2    26 minutes ago        linux/amd64    973.2 MiB     330.1 MiB
192.168.0.5:5000/golang            latest_obd    a8990bdaa8ef    8 minutes ago         linux/amd64    538.6 MiB     538.6 MiB
192.168.0.5:5000/golang            nydusv6       859500a9f4f1    9 minutes ago         linux/amd64    0.0 B         330.9 MiB
192.168.0.5:5000/httpd             estargz       69c915255baf    5 minutes ago         linux/amd64    151.8 MiB     56.2 MiB
192.168.0.5:5000/httpd             latest        57c1e4ff150e    22 minutes ago        linux/amd64    150.1 MiB     53.8 MiB
192.168.0.5:5000/httpd             latest_obd    29b101053bb9    5 minutes ago         linux/amd64    88.9 MiB      88.9 MiB
192.168.0.5:5000/httpd             nydusv6       f6e3a001f3ab    5 minutes ago         linux/amd64    0.0 B         55.4 MiB
192.168.0.5:5000/iojs              estargz       849b1406c0f1    34 seconds ago        linux/amd64    692.0 MiB     257.1 MiB
192.168.0.5:5000/iojs              latest        ebe3fd385e36    17 minutes ago        linux/amd64    683.2 MiB     246.7 MiB
192.168.0.5:5000/iojs              latest_obd    b7b8d9a3cae4    17 seconds ago        linux/amd64    397.7 MiB     397.7 MiB
192.168.0.5:5000/iojs              nydusv6       441de0b5e1b7    32 seconds ago        linux/amd64    0.0 B         242.7 MiB
192.168.0.5:5000/java              estargz       0156b3815b40    8 minutes ago         linux/amd64    669.4 MiB     243.0 MiB
192.168.0.5:5000/java              latest        f841a2abd042    25 minutes ago        linux/amd64    662.8 MiB     235.9 MiB
192.168.0.5:5000/java              latest_obd    4600ec30f45a    8 minutes ago         linux/amd64    394.4 MiB     394.4 MiB
192.168.0.5:5000/java              nydusv6       a7c1d5b341b7    8 minutes ago         linux/amd64    0.0 B         230.6 MiB
192.168.0.5:5000/jruby             estargz       99b469ef7e17    10 minutes ago        linux/amd64    319.2 MiB     123.7 MiB
192.168.0.5:5000/jruby             latest        2a259717c97b    29 minutes ago        linux/amd64    315.6 MiB     119.3 MiB
192.168.0.5:5000/jruby             latest_obd    2ba6cb614cac    10 minutes ago        linux/amd64    189.8 MiB     189.8 MiB
192.168.0.5:5000/jruby             nydusv6       30344c3592ca    10 minutes ago        linux/amd64    0.0 B         121.4 MiB
192.168.0.5:5000/mageia            estargz       23ff6c2462df    12 minutes ago        linux/amd64    328.2 MiB     111.2 MiB
192.168.0.5:5000/mageia            latest        8493cf3c971e    31 minutes ago        linux/amd64    324.4 MiB     105.4 MiB
192.168.0.5:5000/mageia            latest_obd    799408d7b72b    12 minutes ago        linux/amd64    171.5 MiB     171.5 MiB
192.168.0.5:5000/mageia            nydusv6       e86d39c60ac0    12 minutes ago        linux/amd64    0.0 B         109.5 MiB
192.168.0.5:5000/mono              estargz       a13293845e2e    7 minutes ago         linux/amd64    701.2 MiB     236.6 MiB
192.168.0.5:5000/mono              latest        436da53a1faa    24 minutes ago        linux/amd64    696.2 MiB     225.2 MiB
192.168.0.5:5000/mono              latest_obd    63b501de57da    7 minutes ago         linux/amd64    379.8 MiB     379.8 MiB
192.168.0.5:5000/mono              nydusv6       7ebace383cb7    7 minutes ago         linux/amd64    0.0 B         208.2 MiB
192.168.0.5:5000/nginx             estargz       13eb672417ac    5 minutes ago         linux/amd64    193.6 MiB     69.7 MiB
192.168.0.5:5000/nginx             latest        4669f6671aca    22 minutes ago        linux/amd64    191.9 MiB     67.2 MiB
192.168.0.5:5000/nginx             latest_obd    a140b8107afe    4 minutes ago         linux/amd64    111.3 MiB     111.3 MiB
192.168.0.5:5000/nginx             nydusv6       80e1c9c1c974    5 minutes ago         linux/amd64    0.0 B         69.0 MiB
192.168.0.5:5000/perl              estargz       730a74527108    10 minutes ago        linux/amd64    925.7 MiB     331.8 MiB
192.168.0.5:5000/perl              latest        ebef67e52d55    29 minutes ago        linux/amd64    916.7 MiB     320.7 MiB
192.168.0.5:5000/perl              latest_obd    1e909a9da29d    10 minutes ago        linux/amd64    528.2 MiB     528.2 MiB
192.168.0.5:5000/perl              nydusv6       6e5c065307a0    10 minutes ago        linux/amd64    0.0 B         310.7 MiB
192.168.0.5:5000/php-zendserver    estargz       a7869aa3d3c8    3 minutes ago         linux/amd64    1.0 GiB       386.2 MiB
192.168.0.5:5000/php-zendserver    latest        f627d55ffd08    20 minutes ago        linux/amd64    1.0 GiB       378.4 MiB
192.168.0.5:5000/php-zendserver    latest_obd    881e1c32f375    2 minutes ago         linux/amd64    603.8 MiB     603.8 MiB
192.168.0.5:5000/php-zendserver    nydusv6       7f08cfcea2fc    3 minutes ago         linux/amd64    0.0 B         373.7 MiB
192.168.0.5:5000/php               estargz       8015c5a54a31    12 minutes ago        linux/amd64    491.7 MiB     166.2 MiB
192.168.0.5:5000/php               latest        24dc1a7ccd2b    30 minutes ago        linux/amd64    488.2 MiB     161.1 MiB
192.168.0.5:5000/php               latest_obd    9dbf14b8f910    12 minutes ago        linux/amd64    262.2 MiB     262.2 MiB
192.168.0.5:5000/php               nydusv6       ca291c68280c    12 minutes ago        linux/amd64    0.0 B         163.7 MiB
192.168.0.5:5000/pypy              estargz       55f537d8c259    9 minutes ago         linux/amd64    1001.9 MiB    352.2 MiB
192.168.0.5:5000/pypy              latest        701d730eccec    28 minutes ago        linux/amd64    992.5 MiB     341.3 MiB
192.168.0.5:5000/pypy              latest_obd    88d27eb66f1c    9 minutes ago         linux/amd64    566.1 MiB     566.1 MiB
192.168.0.5:5000/pypy              nydusv6       0346a96a9761    9 minutes ago         linux/amd64    0.0 B         330.4 MiB
192.168.0.5:5000/python            estargz       eda21ebdb82a    9 minutes ago         linux/amd64    952.6 MiB     344.4 MiB
192.168.0.5:5000/python            latest        12163d44217b    27 minutes ago        linux/amd64    943.3 MiB     333.6 MiB
192.168.0.5:5000/python            latest_obd    b1d6db4880e6    9 minutes ago         linux/amd64    548.8 MiB     548.8 MiB
192.168.0.5:5000/python            nydusv6       1268d3fbf54f    9 minutes ago         linux/amd64    0.0 B         323.3 MiB
192.168.0.5:5000/rabbitmq          estargz       85a3569bf962    5 minutes ago         linux/amd64    228.0 MiB     95.4 MiB
192.168.0.5:5000/rabbitmq          latest        54f4ba29a6b5    22 minutes ago        linux/amd64    225.9 MiB     92.7 MiB
192.168.0.5:5000/rabbitmq          latest_obd    126674775869    5 minutes ago         linux/amd64    139.8 MiB     139.8 MiB
192.168.0.5:5000/rabbitmq          nydusv6       4c934d8b4aa9    5 minutes ago         linux/amd64    0.0 B         93.6 MiB
192.168.0.5:5000/rails             estargz       90026f80027d    About a minute ago    linux/amd64    889.3 MiB     319.4 MiB
192.168.0.5:5000/rails             latest        9368b6f1584e    18 minutes ago        linux/amd64    878.9 MiB     308.0 MiB
192.168.0.5:5000/rails             latest_obd    8eea6f40a804    About a minute ago    linux/amd64    505.3 MiB     505.3 MiB
192.168.0.5:5000/rails             nydusv6       ec1bdc0b7d9b    About a minute ago    linux/amd64    0.0 B         300.9 MiB
192.168.0.5:5000/rakudo-star       estargz       98796124e34d    10 minutes ago        linux/amd64    536.6 MiB     173.4 MiB
192.168.0.5:5000/rakudo-star       latest        67fd2251e7a4    28 minutes ago        linux/amd64    531.0 MiB     168.4 MiB
192.168.0.5:5000/rakudo-star       latest_obd    a6b07613c8ba    10 minutes ago        linux/amd64    299.8 MiB     299.8 MiB
192.168.0.5:5000/rakudo-star       nydusv6       bb41fa9aff4f    10 minutes ago        linux/amd64    0.0 B         157.5 MiB
192.168.0.5:5000/ruby              estargz       a7891ad2e81b    11 minutes ago        linux/amd64    928.7 MiB     348.4 MiB
192.168.0.5:5000/ruby              latest        c980973bd1a1    30 minutes ago        linux/amd64    919.4 MiB     337.6 MiB
192.168.0.5:5000/ruby              latest_obd    16ffa52cd99b    11 minutes ago        linux/amd64    541.0 MiB     541.0 MiB
192.168.0.5:5000/ruby              nydusv6       a2198c2c4bdb    11 minutes ago        linux/amd64    0.0 B         327.4 MiB
192.168.0.5:5000/thrift            estargz       e02fcb164f09    6 minutes ago         linux/amd64    127.9 MiB     43.4 MiB
192.168.0.5:5000/thrift            latest        e0a01e94dc4e    23 minutes ago        linux/amd64    126.9 MiB     41.7 MiB
192.168.0.5:5000/thrift            latest_obd    d252f57bedf6    6 minutes ago         linux/amd64    69.9 MiB      69.9 MiB
192.168.0.5:5000/thrift            nydusv6       ad1a4904c0b5    6 minutes ago         linux/amd64    0.0 B         42.4 MiB
192.168.0.5:5000/tomcat            estargz       20f6b7f81728    2 minutes ago         linux/amd64    693.5 MiB     336.9 MiB
192.168.0.5:5000/tomcat            latest        e6d65986e3b0    19 minutes ago        linux/amd64    688.3 MiB     330.8 MiB
192.168.0.5:5000/tomcat            latest_obd    ac18072cd15e    2 minutes ago         linux/amd64    476.3 MiB     476.3 MiB
192.168.0.5:5000/tomcat            nydusv6       55ec43d26d66    2 minutes ago         linux/amd64    0.0 B         320.9 MiB
192.168.0.5:5000/ubuntu-upstart    estargz       fda2496ab16d    13 minutes ago        linux/amd64    287.9 MiB     104.9 MiB
192.168.0.5:5000/ubuntu-upstart    latest        2a66541a8694    32 minutes ago        linux/amd64    282.4 MiB     98.6 MiB
192.168.0.5:5000/ubuntu-upstart    latest_obd    5c3dfce8aaeb    13 minutes ago        linux/amd64    159.1 MiB     159.0 MiB
192.168.0.5:5000/ubuntu-upstart    nydusv6       7854b481aec0    13 minutes ago        linux/amd64    0.0 B         104.8 MiB
192.168.0.5:5000/ubuntu            estargz       31bbd67eee7d    14 minutes ago        linux/amd64    78.8 MiB      29.0 MiB
192.168.0.5:5000/ubuntu            latest        7cc0576c7c0e    32 minutes ago        linux/amd64    77.9 MiB      27.2 MiB
192.168.0.5:5000/ubuntu            latest_obd    ce7cd7cff05f    14 minutes ago        linux/amd64    43.2 MiB      43.2 MiB
192.168.0.5:5000/ubuntu            nydusv6       982ebfa7e76d    14 minutes ago        linux/amd64    0.0 B         29.2 MiB
